,how_many_shops,property_id,locality_name,postal_code,streetname,housenumber,latitude,longitude,property_type,property_subtype,price,type_of_sale,nb_of_rooms,area,fully_equipped_kitchen,furnished,open_fire,terrace,terrace_area,garden,garden_area,surface,surface_area_plot,nb_of_facades,swimming_pool,state_of_building,surface_of_good
0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,268.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,268.0,,,,,,,,,,,,,,,,,,,,,,,,,,
6,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,
8,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,
9,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,
10,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,
11,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
12,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,
13,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,
14,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,
15,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,
16,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
17,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,
18,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,
19,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,
20,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
22,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
23,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
24,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,
25,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
26,175.0,,,,,,,,,,,,,,,,,,,,,,,,,,
27,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,
34,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
35,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,
36,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
37,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,
38,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
39,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
40,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
41,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,
42,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
43,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,
44,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,
45,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,
46,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,
47,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,
48,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,
49,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,
50,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,
51,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,
52,169.0,,,,,,,,,,,,,,,,,,,,,,,,,,
53,222.0,,,,,,,,,,,,,,,,,,,,,,,,,,
54,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
55,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
59,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,
60,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,
61,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
62,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,
63,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,
64,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,
65,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
66,97.0,,,,,,,,,,,,,,,,,,,,,,,,,,
67,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
70,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,
71,1213.0,,,,,,,,,,,,,,,,,,,,,,,,,,
72,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
73,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
74,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
75,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
76,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,
77,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,
78,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,
79,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
80,1299.0,,,,,,,,,,,,,,,,,,,,,,,,,,
81,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
82,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,240.0,,,,,,,,,,,,,,,,,,,,,,,,,,
85,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
86,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,
87,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,
90,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,
91,176.0,,,,,,,,,,,,,,,,,,,,,,,,,,
92,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,
96,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,
97,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,
98,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,
99,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
100,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,
